"benefits","associations","names","genders"
"tasty","European","translated","female"
"healthy","European","translated","female"
"both","European","translated","female"
"tasty","Dutch","translated","female"
"healthy","Dutch","translated","female"
"both","Dutch","translated","female"
"tasty","no association","translated","female"
"healthy","no association","translated","female"
"both","no association","translated","female"
"tasty","European","original","female"
"healthy","European","original","female"
"both","European","original","female"
"tasty","Dutch","original","female"
"healthy","Dutch","original","female"
"both","Dutch","original","female"
"tasty","no association","original","female"
"healthy","no association","original","female"
"both","no association","original","female"
"tasty","European","translated","male"
"healthy","European","translated","male"
"both","European","translated","male"
"tasty","Dutch","translated","male"
"healthy","Dutch","translated","male"
"both","Dutch","translated","male"
"tasty","no association","translated","male"
"healthy","no association","translated","male"
"both","no association","translated","male"
"tasty","European","original","male"
"healthy","European","original","male"
"both","European","original","male"
"tasty","Dutch","original","male"
"healthy","Dutch","original","male"
"both","Dutch","original","male"
"tasty","no association","original","male"
"healthy","no association","original","male"
"both","no association","original","male"
